date,paed_ed_attends
2015-10-05,54
2015-10-06,57
2015-10-07,54
2015-10-08,47
2015-10-09,65
2015-10-10,47
2015-10-11,59
2015-10-12,46
2015-10-13,51
2015-10-14,58
2015-10-15,42
2015-10-16,61
2015-10-17,53
2015-10-18,53
2015-10-19,60
2015-10-20,55
2015-10-21,54
2015-10-22,53
2015-10-23,60
2015-10-24,56
2015-10-25,56
2015-10-26,46
2015-10-27,34
2015-10-28,49
2015-10-29,50
2015-10-30,40
2015-10-31,47
2015-11-01,62
2015-11-02,51
2015-11-03,51
2015-11-04,49
2015-11-05,55
2015-11-06,57
2015-11-07,54
2015-11-08,52
2015-11-09,67
2015-11-10,46
2015-11-11,50
2015-11-12,53
2015-11-13,64
2015-11-14,51
2015-11-15,61
2015-11-16,57
2015-11-17,47
2015-11-18,57
2015-11-19,43
2015-11-20,59
2015-11-21,57
2015-11-22,61
2015-11-23,65
2015-11-24,64
2015-11-25,50
2015-11-26,60
2015-11-27,52
2015-11-28,47
2015-11-29,61
2015-11-30,57
2015-12-01,64
2015-12-02,51
2015-12-03,67
2015-12-04,59
2015-12-05,55
2015-12-06,69
2015-12-07,72
2015-12-08,44
2015-12-09,67
2015-12-10,48
2015-12-11,50
2015-12-12,55
2015-12-13,63
2015-12-14,52
2015-12-15,56
2015-12-16,63
2015-12-17,53
2015-12-18,62
2015-12-19,46
2015-12-20,60
2015-12-21,49
2015-12-22,43
2015-12-23,42
2015-12-24,43
2015-12-25,32
2015-12-26,56
2015-12-27,52
2015-12-28,52
2015-12-29,38
2015-12-30,44
2015-12-31,40
2016-01-01,45
2016-01-02,41
2016-01-03,40
2016-01-04,37
2016-01-05,38
2016-01-06,36
2016-01-07,44
2016-01-08,43
2016-01-09,47
2016-01-10,47
2016-01-11,44
2016-01-12,39
2016-01-13,54
2016-01-14,46
2016-01-15,35
2016-01-16,45
2016-01-17,54
2016-01-18,58
2016-01-19,54
2016-01-20,49
2016-01-21,55
2016-01-22,51
2016-01-23,48
2016-01-24,71
2016-01-25,48
2016-01-26,50
2016-01-27,67
2016-01-28,59
2016-01-29,54
2016-01-30,48
2016-01-31,68
2016-02-01,64
2016-02-02,66
2016-02-03,53
2016-02-04,65
2016-02-05,52
2016-02-06,50
2016-02-07,70
2016-02-08,47
2016-02-09,57
2016-02-10,47
2016-02-11,52
2016-02-12,45
2016-02-13,43
2016-02-14,56
2016-02-15,38
2016-02-16,49
2016-02-17,41
2016-02-18,44
2016-02-19,56
2016-02-20,46
2016-02-21,52
2016-02-22,64
2016-02-23,47
2016-02-24,49
2016-02-25,62
2016-02-26,55
2016-02-27,55
2016-02-28,70
2016-02-29,72
2016-03-01,47
2016-03-02,58
2016-03-03,55
2016-03-04,56
2016-03-05,66
2016-03-06,65
2016-03-07,58
2016-03-08,50
2016-03-09,64
2016-03-10,55
2016-03-11,55
2016-03-12,61
2016-03-13,85
2016-03-14,71
2016-03-15,65
2016-03-16,73
2016-03-17,71
2016-03-18,70
2016-03-19,58
2016-03-20,65
2016-03-21,58
2016-03-22,62
2016-03-23,66
2016-03-24,49
2016-03-25,67
2016-03-26,73
2016-03-27,60
2016-03-28,63
2016-03-29,50
2016-03-30,41
2016-03-31,48
2016-04-01,50
2016-04-02,46
2016-04-03,61
2016-04-04,53
2016-04-05,47
2016-04-06,40
2016-04-07,45
2016-04-08,47
2016-04-09,48
2016-04-10,43
2016-04-11,46
2016-04-12,52
2016-04-13,41
2016-04-14,51
2016-04-15,42
2016-04-16,41
2016-04-17,56
2016-04-18,48
2016-04-19,61
2016-04-20,43
2016-04-21,51
2016-04-22,47
2016-04-23,60
2016-04-24,43
2016-04-25,61
2016-04-26,51
2016-04-27,53
2016-04-28,65
2016-04-29,59
2016-04-30,53
2016-05-01,44
2016-05-02,61
2016-05-03,44
2016-05-04,60
2016-05-05,49
2016-05-06,64
2016-05-07,52
2016-05-08,70
2016-05-09,65
2016-05-10,58
2016-05-11,38
2016-05-12,63
2016-05-13,53
2016-05-14,58
2016-05-15,75
2016-05-16,49
2016-05-17,54
2016-05-18,42
2016-05-19,50
2016-05-20,48
2016-05-21,51
2016-05-22,43
2016-05-23,56
2016-05-24,49
2016-05-25,47
2016-05-26,53
2016-05-27,51
2016-05-28,44
2016-05-29,44
2016-05-30,51
2016-05-31,42
2016-06-01,38
2016-06-02,44
2016-06-03,56
2016-06-04,53
2016-06-05,52
2016-06-06,52
2016-06-07,49
2016-06-08,46
2016-06-09,56
2016-06-10,46
2016-06-11,56
2016-06-12,43
2016-06-13,51
2016-06-14,45
2016-06-15,51
2016-06-16,35
2016-06-17,44
2016-06-18,47
2016-06-19,57
2016-06-20,50
2016-06-21,43
2016-06-22,43
2016-06-23,34
2016-06-24,50
2016-06-25,52
2016-06-26,60
2016-06-27,45
2016-06-28,46
2016-06-29,52
2016-06-30,47
2016-07-01,44
2016-07-02,49
2016-07-03,61
2016-07-04,57
2016-07-05,43
2016-07-06,50
2016-07-07,60
2016-07-08,50
2016-07-09,49
2016-07-10,63
2016-07-11,48
2016-07-12,54
2016-07-13,47
2016-07-14,63
2016-07-15,58
2016-07-16,57
2016-07-17,57
2016-07-18,68
2016-07-19,48
2016-07-20,59
2016-07-21,52
2016-07-22,54
2016-07-23,48
2016-07-24,50
2016-07-25,56
2016-07-26,51
2016-07-27,49
2016-07-28,45
2016-07-29,39
2016-07-30,47
2016-07-31,49
2016-08-01,48
2016-08-02,46
2016-08-03,27
2016-08-04,32
2016-08-05,49
2016-08-06,37
2016-08-07,32
2016-08-08,35
2016-08-09,44
2016-08-10,47
2016-08-11,37
2016-08-12,45
2016-08-13,38
2016-08-14,48
2016-08-15,37
2016-08-16,28
2016-08-17,24
2016-08-18,36
2016-08-19,39
2016-08-20,40
2016-08-21,42
2016-08-22,43
2016-08-23,38
2016-08-24,38
2016-08-25,39
2016-08-26,39
2016-08-27,51
2016-08-28,46
2016-08-29,47
2016-08-30,45
2016-08-31,42
2016-09-01,34
2016-09-02,44
2016-09-03,49
2016-09-04,47
2016-09-05,42
2016-09-06,41
2016-09-07,42
2016-09-08,51
2016-09-09,44
2016-09-10,41
2016-09-11,41
2016-09-12,53
2016-09-13,49
2016-09-14,42
2016-09-15,46
2016-09-16,38
2016-09-17,38
2016-09-18,55
2016-09-19,66
2016-09-20,43
2016-09-21,56
2016-09-22,34
2016-09-23,60
2016-09-24,44
2016-09-25,47
2016-09-26,62
2016-09-27,54
2016-09-28,47
2016-09-29,43
2016-09-30,59
2016-10-01,44
2016-10-02,41
2016-10-03,53
2016-10-04,45
2016-10-05,47
2016-10-06,41
2016-10-07,49
2016-10-08,51
2016-10-09,42
2016-10-10,57
2016-10-11,42
2016-10-12,54
2016-10-13,46
2016-10-14,65
2016-10-15,50
2016-10-16,36
2016-10-17,53
2016-10-18,45
2016-10-19,56
2016-10-20,47
2016-10-21,60
2016-10-22,44
2016-10-23,55
2016-10-24,51
2016-10-25,43
2016-10-26,46
2016-10-27,44
2016-10-28,43
2016-10-29,56
2016-10-30,63
2016-10-31,55
2016-11-01,65
2016-11-02,47
2016-11-03,46
2016-11-04,50
2016-11-05,42
2016-11-06,42
2016-11-07,51
2016-11-08,42
2016-11-09,52
2016-11-10,58
2016-11-11,59
2016-11-12,64
2016-11-13,63
2016-11-14,68
2016-11-15,57
2016-11-16,70
2016-11-17,54
2016-11-18,59
2016-11-19,52
2016-11-20,69
2016-11-21,64
2016-11-22,78
2016-11-23,61
2016-11-24,64
2016-11-25,82
2016-11-26,47
2016-11-27,67
2016-11-28,66
2016-11-29,61
2016-11-30,51
2016-12-01,38
2016-12-02,49
2016-12-03,63
2016-12-04,55
2016-12-05,43
2016-12-06,66
2016-12-07,48
2016-12-08,58
2016-12-09,67
2016-12-10,72
2016-12-11,57
2016-12-12,72
2016-12-13,57
2016-12-14,55
2016-12-15,65
2016-12-16,57
2016-12-17,55
2016-12-18,59
2016-12-19,60
2016-12-20,48
2016-12-21,46
2016-12-22,53
2016-12-23,44
2016-12-24,46
2016-12-25,32
2016-12-26,58
2016-12-27,55
2016-12-28,39
2016-12-29,35
2016-12-30,32
2016-12-31,51
2017-01-01,52
2017-01-02,49
2017-01-03,38
2017-01-04,50
2017-01-05,58
2017-01-06,46
2017-01-07,41
2017-01-08,51
2017-01-09,46
2017-01-10,39
2017-01-11,47
2017-01-12,50
2017-01-13,28
2017-01-14,44
2017-01-15,53
2017-01-16,39
2017-01-17,43
2017-01-18,56
2017-01-19,44
2017-01-20,55
2017-01-21,44
2017-01-22,50
2017-01-23,46
2017-01-24,60
2017-01-25,48
2017-01-26,59
2017-01-27,45
2017-01-28,65
2017-01-29,61
2017-01-30,52
2017-01-31,53
2017-02-01,53
2017-02-02,65
2017-02-03,53
2017-02-04,45
2017-02-05,66
2017-02-06,64
2017-02-07,46
2017-02-08,49
2017-02-09,55
2017-02-10,59
2017-02-11,44
2017-02-12,46
2017-02-13,41
2017-02-14,33
2017-02-15,43
2017-02-16,44
2017-02-17,46
2017-02-18,42
2017-02-19,40
